animal_id,AnimalName,Breed,Age,Weight,Symptom_Count,Dangerous,Danger_Score,High_Risk_Count,Medium_Risk_Count,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
0,sheep,merino,senior,366.2649769638911,4,Yes,0.7000000000000001,0,0,fever,weight_loss,lethargy,paresis,none,none,none,none,none,none
1,guinea_pig,american,young,148.8404793463371,3,No,0.34,0,0,dental_problems,weight_loss,nystagmus,none,none,none,none,none,none,none
2,goat,alpine,young,242.93015570813262,4,No,0.41750000000000004,0,0,bloating,weight_loss,ulcers,gasping,none,none,none,none,none,none
3,horse,quarter_horse,young,321.37379143098957,2,Yes,0.485,0,0,lameness,fever,none,none,none,none,none,none,none,none
4,cow,holstein,young,142.6765663939954,3,Yes,0.53,0,0,bloating,fever,lethargy,none,none,none,none,none,none,none
5,horse,arabian,young,247.45296387653386,3,Yes,0.43,0,0,swelling,weight_loss,discharge,none,none,none,none,none,none,none
6,cow,hereford,senior,188.41589336733207,2,Yes,0.505,0,0,fever,lameness,none,none,none,none,none,none,none,none
7,duck,pekin,adult,295.8257970239364,2,No,0.33999999999999997,0,0,lameness,lethargy,none,none,none,none,none,none,none,none
8,guinea_pig,american,young,414.1066328900067,3,No,0.43999999999999995,0,0,sneezing,weight_loss,paresis,none,none,none,none,none,none,none
9,cat,maine_coon,young,229.6681923552668,4,Yes,0.455,0,0,hair_loss,vomiting,dehydration,nystagmus,none,none,none,none,none,none
10,turkey,bourbon_red,young,368.7807428387134,4,Yes,0.625,0,0,lethargy,diarrhea,depression,dehydration,none,none,none,none,none,none
11,pig,duroc,adult,309.49081359481426,2,Yes,0.54,0,0,loss_of_appetite,fever,none,none,none,none,none,none,none,none
12,cat,maine_coon,adult,74.15580602432073,4,No,0.275,0,0,sneezing,hair_loss,depression,skin_lesions,none,none,none,none,none,none
13,hamster,dwarf,senior,268.5120868057161,3,Yes,0.43,0,0,hair_loss,weight_loss,coughing,none,none,none,none,none,none,none
14,guinea_pig,abby,adult,304.4358369214007,4,Yes,0.5725,0,0,lethargy,weight_loss,depression,hemorrhage,none,none,none,none,none,none
15,cow,hereford,senior,447.70821200591246,4,Yes,0.5700000000000001,0,0,weight_loss,reproductive_issues,pale_gums,edema,none,none,none,none,none,none
